"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"AIR_2_1","PUBLISHED","2006","AFR","DZA","42","42","","",""
"AIR_2_1","PUBLISHED","2010","AMR","ARG","38","38","","",""
"AIR_2_1","PUBLISHED","2009","WPR","AUS","13","13","","",""
"AIR_2_1","PUBLISHED","2008","EUR","AUT","25","25","","",""
"AIR_2_1","PUBLISHED","2007","SEAR","BGD","120","120","","",""
"AIR_2_1","PUBLISHED","2008","EUR","BLR","24","24","","",""
"AIR_2_1","PUBLISHED","2008","EUR","BEL","26","26","","",""
"AIR_2_1","PUBLISHED","2006","SEAR","BTN","18","18","","",""
"AIR_2_1","PUBLISHED","2007","AMR","BOL","82","82","","",""
"AIR_2_1","PUBLISHED","2008","EUR","BIH","117","117","","",""
"AIR_2_1","PUBLISHED","2005","AFR","BWA","216","216","","",""
"AIR_2_1","PUBLISHED","2009","AMR","BRA","40","40","","",""
"AIR_2_1","PUBLISHED","2008","EUR","BGR","60","60","","",""
"AIR_2_1","PUBLISHED","2008","AMR","CAN","21","21","","",""
"AIR_2_1","PUBLISHED","2008","AMR","CHL","62","62","","",""
"AIR_2_1","PUBLISHED","2009","WPR","CHN","98","98","","",""
"AIR_2_1","PUBLISHED","2007","AMR","COL","71","71","","",""
"AIR_2_1","PUBLISHED","2007","AMR","CRI","28","28","","",""
"AIR_2_1","PUBLISHED","2008","EUR","HRV","33","33","","",""
"AIR_2_1","PUBLISHED","2007","EUR","CYP","53","53","","",""
"AIR_2_1","PUBLISHED","2008","EUR","CZE","29","29","","",""
"AIR_2_1","PUBLISHED","2008","EUR","DNK","27","27","","",""
"AIR_2_1","PUBLISHED","2009","AMR","ECU","35","35","","",""
"AIR_2_1","PUBLISHED","2008","EMR","EGY","138","138","","",""
"AIR_2_1","PUBLISHED","2007","AMR","SLV","52","52","","",""
"AIR_2_1","PUBLISHED","2008","EUR","EST","11","11","","",""
"AIR_2_1","PUBLISHED","2008","EUR","FIN","19","19","","",""
"AIR_2_1","PUBLISHED","2008","EUR","FRA","27","27","","",""
"AIR_2_1","PUBLISHED","2008","EUR","DEU","25","25","","",""
"AIR_2_1","PUBLISHED","2008","AFR","GHA","98","98","","",""
"AIR_2_1","PUBLISHED","2008","EUR","GRC","44","44","","",""
"AIR_2_1","PUBLISHED","2008","AMR","GTM","48","48","","",""
"AIR_2_1","PUBLISHED","2008","EUR","HUN","27","27","","",""
"AIR_2_1","PUBLISHED","2008","EUR","ISL","24","24","","",""
"AIR_2_1","PUBLISHED","2008","SEAR","IND","109","109","","",""
"AIR_2_1","PUBLISHED","2008","SEAR","IDN","55","55","","",""
"AIR_2_1","PUBLISHED","2008","EUR","IRL","15","15","","",""
"AIR_2_1","PUBLISHED","2009","EUR","ISR","59","59","","",""
"AIR_2_1","PUBLISHED","2008","EUR","ITA","37","37","","",""
"AIR_2_1","PUBLISHED","2008","AMR","JAM","48","48","","",""
"AIR_2_1","PUBLISHED","2008","WPR","JPN","22","22","","",""
"AIR_2_1","PUBLISHED","2003","EMR","KWT","123","123","","",""
"AIR_2_1","PUBLISHED","2008","EUR","LVA","39","39","","",""
"AIR_2_1","PUBLISHED","2004","EMR","LBN","53","53","","",""
"AIR_2_1","PUBLISHED","2008","EUR","LTU","21","21","","",""
"AIR_2_1","PUBLISHED","2008","EUR","LUX","18","18","","",""
"AIR_2_1","PUBLISHED","2003","AFR","MDG","68","68","","",""
"AIR_2_1","PUBLISHED","2008","WPR","MYS","42","42","","",""
"AIR_2_1","PUBLISHED","2007","EUR","MLT","35","35","","",""
"AIR_2_1","PUBLISHED","2009","AFR","MUS","12","12","","",""
"AIR_2_1","PUBLISHED","2009","AMR","MEX","55","55","","",""
"AIR_2_1","PUBLISHED","2008","EUR","MCO","18","18","","",""
"AIR_2_1","PUBLISHED","2008","WPR","MNG","279","279","","",""
"AIR_2_1","PUBLISHED","2007","SEAR","MMR","94","94","","",""
"AIR_2_1","PUBLISHED","2005","SEAR","NPL","106","106","","",""
"AIR_2_1","PUBLISHED","2008","EUR","NLD","26","26","","",""
"AIR_2_1","PUBLISHED","2009","WPR","NZL","15","15","","",""
"AIR_2_1","PUBLISHED","2006","AFR","NGA","124","124","","",""
"AIR_2_1","PUBLISHED","2008","EUR","NOR","22","22","","",""
"AIR_2_1","PUBLISHED","2004","EMR","PAK","198","198","","",""
"AIR_2_1","PUBLISHED","2009","AMR","PAN","40","40","","",""
"AIR_2_1","PUBLISHED","2010","AMR","PER","74","74","","",""
"AIR_2_1","PUBLISHED","2008","EUR","MKD","70","70","","",""
"AIR_2_1","PUBLISHED","2007","WPR","PHL","47","47","","",""
"AIR_2_1","PUBLISHED","2008","EUR","POL","33","33","","",""
"AIR_2_1","PUBLISHED","2008","EUR","PRT","28","28","","",""
"AIR_2_1","PUBLISHED","2007","WPR","KOR","61","61","","",""
"AIR_2_1","PUBLISHED","2008","EUR","ROU","42","42","","",""
"AIR_2_1","PUBLISHED","2009","EUR","RUS","32.5","32.5","","",""
"AIR_2_1","PUBLISHED","2009","EUR","SMR","20","20","","",""
"AIR_2_1","PUBLISHED","2003","EMR","SAU","143","143","","",""
"AIR_2_1","PUBLISHED","2010","AFR","SEN","145","145","","",""
"AIR_2_1","PUBLISHED","2008","EUR","SRB","43","43","","",""
"AIR_2_1","PUBLISHED","2009","WPR","SGP","29","29","","",""
"AIR_2_1","PUBLISHED","2008","EUR","SVK","27","27","","",""
"AIR_2_1","PUBLISHED","2008","EUR","SVN","30","30","","",""
"AIR_2_1","PUBLISHED","2009","AFR","ZAF","52","52","","",""
"AIR_2_1","PUBLISHED","2008","EUR","ESP","29","29","","",""
"AIR_2_1","PUBLISHED","2008","SEAR","LKA","77","77","","",""
"AIR_2_1","PUBLISHED","2008","EUR","SWE","25","25","","",""
"AIR_2_1","PUBLISHED","2008","EUR","CHE","22","22","","",""
"AIR_2_1","PUBLISHED","2008","SEAR","THA","41","41","","",""
"AIR_2_1","PUBLISHED","2006","EMR","TUN","80","80","","",""
"AIR_2_1","PUBLISHED","2006","AFR","TZA","64","64","","",""
"AIR_2_1","PUBLISHED","2009","EMR","IRN","124","124","","",""
"AIR_2_1","PUBLISHED","2008","EUR","TUR","66","66","","",""
"AIR_2_1","PUBLISHED","2008","EMR","ARE","132","132","","",""
"AIR_2_1","PUBLISHED","2008","EUR","GBR","23","23","","",""
"AIR_2_1","PUBLISHED","2008","AMR","USA","18","18","","",""
"AIR_2_1","PUBLISHED","2009","AMR","URY","39","39","","",""
"AIR_2_1","PUBLISHED","2008","AMR","VEN","41","41","","",""
